frame_index,left_theta,left_phi,right_theta,right_phi
62.0,0.31332,-0.09603,0.20371,-0.3547
63.0,0.27867,-0.10549,0.23907,-0.39189
64.0,0.27867,-0.10549,0.23907,-0.39189
65.0,0.35125,-0.18342,0.20148,-0.43245
66.0,0.28288,-0.09952,0.23356,-0.38992
67.0,0.31568,-0.12869,0.1818,-0.52145
68.0,0.30596,-0.13011,0.14744,-0.51839
69.0,0.27633,-0.13283,0.17681,-0.50497
70.0,0.29315,-0.10413,0.19387,-0.54543
71.0,0.36322,-0.14273,0.11169,-0.4756
72.0,0.29418,-0.17694,0.14398,-0.57908
73.0,0.28782,-0.18135,0.14223,-0.57814
74.0,0.31547,-0.17847,0.14398,-0.5653
75.0,0.2577,-0.22628,0.17535,-0.58053
76.0,0.33109,-0.21033,0.15122,-0.55584
77.0,0.28102,-0.19295,0.15758,-0.56076
78.0,0.26018,-0.20513,0.19274,-0.58812
79.0,0.2663,-0.20635,0.15865,-0.57745
80.0,0.28666,-0.15449,0.15971,-0.53002
81.0,0.23395,-0.20615,0.16519,-0.57124
82.0,0.29425,-0.24698,0.15941,-0.5904
83.0,0.2781,-0.27727,0.15975,-0.57978
84.0,0.29829,-0.24749,0.17117,-0.57563
85.0,0.2546,-0.22001,0.15505,-0.56185
86.0,0.26664,-0.19735,0.11557,-0.53469
87.0,0.28896,-0.21851,0.13956,-0.53602
88.0,0.30384,-0.25627,0.217,-0.50082
89.0,0.26294,-0.17346,0.24827,-0.537
90.0,0.32267,-0.23263,0.20278,-0.53508
91.0,0.324,-0.16922,0.19595,-0.49311
92.0,0.32988,-0.16352,0.18854,-0.48435
93.0,0.3268,-0.15704,0.19645,-0.48524
94.0,0.28292,-0.15022,0.20241,-0.51562
95.0,0.338,-0.15902,0.21417,-0.45376
96.0,0.2984,-0.17529,0.19187,-0.47678
97.0,0.32583,-0.23206,0.22996,-0.36215
98.0,0.3594,-0.21299,0.26521,-0.45236
99.0,0.31039,-0.17978,0.27751,-0.57512
100.0,0.30934,-0.274,0.2952,-0.45484
101.0,0.32576,-0.21822,0.28114,-0.44524
102.0,0.33531,-0.22023,0.27686,-0.43326
103.0,0.31763,-0.23101,0.30171,-0.45018
104.0,0.32397,-0.2549,0.31832,-0.44364
105.0,0.28338,-0.21935,0.31933,-0.43362
106.0,0.34085,-0.23048,0.32812,-0.45293
107.0,0.31353,-0.18762,0.37484,-0.52885
108.0,0.33958,-0.21177,0.36459,-0.53344
109.0,0.36914,-0.30174,0.31714,-0.43102
110.0,0.38547,-0.18412,0.42175,-0.49507
111.0,0.38925,-0.2253,0.37022,-0.53647
112.0,0.38003,-0.17597,0.37847,-0.46665
113.0,0.39213,-0.17917,0.36885,-0.53954
114.0,0.3776,-0.18399,0.36839,-0.47382
115.0,0.38423,-0.18135,0.35534,-0.54888
116.0,0.39925,-0.26326,0.2944,-0.48034
117.0,0.43541,-0.27357,0.33275,-0.56042
118.0,0.38626,-0.23283,0.35316,-0.5605
119.0,0.37683,-0.23776,0.32849,-0.47679
120.0,0.35257,-0.23856,0.33271,-0.55365
121.0,0.36012,-0.17281,0.32415,-0.54967
122.0,0.3562,-0.24533,0.3183,-0.55191
123.0,0.35408,-0.24241,0.29271,-0.52707
124.0,0.35728,-0.27887,0.32229,-0.55142
125.0,0.34944,-0.26093,0.34611,-0.56299
126.0,0.34261,-0.17727,0.30404,-0.60855
127.0,0.36764,-0.19495,0.28696,-0.4805
128.0,0.39705,-0.22584,0.28884,-0.49592
129.0,0.33383,-0.18061,0.26537,-0.50248
130.0,0.33561,-0.18094,0.26881,-0.48355
131.0,0.29534,-0.17832,0.24676,-0.51817
132.0,0.27623,-0.17679,0.25466,-0.52917
133.0,0.28199,-0.21076,0.22829,-0.52331
134.0,0.23845,-0.18251,0.22418,-0.46601
135.0,0.2792,-0.20111,0.19641,-0.5052
136.0,0.29434,-0.17622,0.12935,-0.44774
137.0,0.24531,-0.17526,0.19648,-0.41407
138.0,0.24934,-0.18852,0.21958,-0.44802
139.0,0.28591,-0.15283,0.17352,-0.46639
140.0,0.27501,-0.12639,0.13524,-0.45681
141.0,0.24206,-0.14368,0.12482,-0.49644
142.0,0.2772,-0.17569,0.14924,-0.4475
143.0,0.27433,-0.23928,0.11517,-0.42172
144.0,0.28765,-0.16808,0.12673,-0.4586
145.0,0.21393,-0.17133,0.17113,-0.54545
146.0,0.23731,-0.13148,0.1627,-0.4936
147.0,0.27799,-0.15621,0.10949,-0.42686
148.0,0.27342,-0.14623,0.07957,-0.45184
149.0,0.26349,-0.22556,0.12906,-0.46996
150.0,0.17667,-0.2034,0.1913,-0.43407
151.0,0.17219,-0.14101,0.17042,-0.40687
152.0,0.16258,-0.06279,0.20162,-0.45452
153.0,0.15861,-0.10422,0.15642,-0.4702
154.0,0.1815,-0.17802,0.15747,-0.55125
155.0,0.1869,-0.16981,0.17816,-0.48542
156.0,0.15399,-0.20065,0.11727,-0.40407
157.0,0.18949,-0.20184,0.14859,-0.43445
158.0,0.18384,-0.15756,0.10895,-0.39809
159.0,0.22685,-0.14475,0.16648,-0.39874
160.0,0.2175,-0.10272,0.11385,-0.39949
161.0,0.17304,-0.14351,0.07166,-0.32712
162.0,0.19174,-0.1363,0.10589,-0.45511
163.0,0.14521,-0.17293,0.13187,-0.42637
164.0,0.16311,-0.12859,0.12676,-0.4344
165.0,0.21334,-0.03692,0.13091,-0.45779
166.0,0.2207,-0.14529,0.16008,-0.37851
167.0,0.1893,-0.13383,0.17667,-0.4863
168.0,0.19074,-0.09899,0.12293,-0.45797
169.0,0.20259,-0.17403,0.15557,-0.45009
170.0,0.19515,-0.13423,0.18611,-0.4307
171.0,0.20152,-0.14116,0.1524,-0.38982
172.0,0.17881,-0.13088,0.17784,-0.41562
173.0,0.14554,-0.18182,0.21202,-0.40026
174.0,0.16832,-0.17466,0.17453,-0.46579
175.0,0.23365,-0.16016,0.13924,-0.436
176.0,0.19387,-0.12566,0.1656,-0.58653
177.0,0.22423,-0.15619,0.14036,-0.44708
178.0,0.21519,-0.17826,0.18033,-0.45767
179.0,0.25954,-0.24257,0.10469,-0.43438
180.0,0.22829,-0.17127,0.21687,-0.46336
181.0,0.30132,-0.19705,0.20941,-0.52505
182.0,0.24478,-0.07645,0.16033,-0.53475
183.0,0.24833,-0.1308,0.18671,-0.46229
184.0,0.32006,-0.10991,0.18609,-0.43023
185.0,0.2692,-0.08145,0.21899,-0.52881
186.0,0.2794,-0.13476,0.16277,-0.461
187.0,0.23786,-0.1715,0.21268,-0.54208
188.0,0.24469,-0.13416,0.20848,-0.51084
189.0,0.31209,-0.1401,0.17318,-0.4949
190.0,0.27856,-0.09859,0.17143,-0.5186
191.0,0.31255,-0.08778,0.17487,-0.47929
192.0,0.28501,-0.1772,0.16924,-0.55585
193.0,0.32399,-0.20287,0.18555,-0.48499
194.0,0.28203,-0.15788,0.22926,-0.52995
195.0,0.3046,-0.14098,0.21682,-0.56934
196.0,0.28302,-0.15968,0.19202,-0.49943
197.0,0.28241,-0.14211,0.21382,-0.50272
198.0,0.27763,-0.12041,0.24073,-0.42897
199.0,0.33716,-0.10073,0.24929,-0.4213
200.0,0.34018,-0.04045,0.26433,-0.45964
201.0,0.32938,-0.09796,0.18005,-0.45067
202.0,0.35605,-0.04812,0.19286,-0.45572
203.0,0.3304,0.00827,0.21471,-0.5049
204.0,0.3338,-0.03993,0.17196,-0.45764
205.0,0.29391,0.00442,0.25221,-0.46178
206.0,0.2879,0.00807,0.2552,-0.50454
207.0,0.2803,0.06971,0.25411,-0.40864
208.0,0.28357,-0.04221,0.21239,-0.38007
209.0,0.27533,0.12057,0.18848,-0.27893
210.0,0.29458,0.17202,0.23437,-0.32843
211.0,0.26387,0.11015,0.26181,-0.30654
212.0,0.31641,0.12446,0.22227,-0.23053
213.0,0.23195,0.13595,0.23466,-0.29214
214.0,0.28455,0.05264,0.26041,-0.20604
215.0,0.33174,0.11883,0.24276,-0.18692
216.0,0.31597,0.06701,0.25482,-0.19555
217.0,0.339,0.15897,0.23878,-0.13952
218.0,0.30141,0.08589,0.2521,-0.29629
219.0,0.28155,0.12299,0.22481,-0.25271
220.0,0.267,0.11512,0.24098,-0.23248
221.0,0.24606,0.10805,0.26116,-0.26368
222.0,0.2526,0.13955,0.32018,-0.28491
223.0,0.3579,0.06414,0.24434,-0.26073
224.0,0.33145,0.08813,0.28593,-0.22877
225.0,0.37332,0.05639,0.22955,-0.30685
226.0,0.29493,0.05881,0.21306,-0.2331
227.0,0.27802,0.10242,0.2253,-0.29681
228.0,0.32779,0.11521,0.2323,-0.24447
229.0,0.30767,0.11572,0.19687,-0.32425
230.0,0.30918,0.14427,0.22401,-0.30844
231.0,0.33537,0.14829,0.2369,-0.30255
232.0,0.27792,0.10498,0.21074,-0.24914
233.0,0.29161,0.10214,0.19845,-0.29202
234.0,0.37053,0.0803,0.19299,-0.24703
235.0,0.32906,0.07144,0.19479,-0.2996
236.0,0.288,0.11601,0.24589,-0.24372
237.0,0.29891,0.10298,0.23204,-0.22823
238.0,0.2835,0.10346,0.28325,-0.30476
239.0,0.33877,0.15708,0.25144,-0.24054
240.0,0.27489,0.13619,0.27567,-0.22692
241.0,0.31826,0.1249,0.27474,-0.23685
242.0,0.32226,0.16082,0.20893,-0.18609
243.0,0.2639,0.12447,0.17127,-0.04603
244.0,0.33945,0.17295,0.18998,-0.05152
245.0,0.28025,0.20157,0.25234,-0.29111
246.0,0.3105,0.2407,0.20088,-0.09945
247.0,0.28128,0.28333,0.20858,-0.04885
248.0,0.26894,0.31628,0.22696,-0.04553
249.0,0.25652,0.38454,0.1596,0.10044
250.0,0.27613,0.33352,0.21013,0.00266
251.0,0.26677,0.32443,0.21665,0.06041
252.0,0.2499,0.33814,0.22667,0.06814
253.0,0.28505,0.44736,0.21147,0.11388
254.0,0.29286,0.46135,0.20107,0.10699
255.0,0.25007,0.44582,0.22641,0.01452
256.0,0.25698,0.43878,0.22188,0.07111
257.0,0.20085,0.42277,0.25123,0.08872
258.0,0.18214,0.45966,0.25728,0.1202
259.0,0.20165,0.47962,0.19615,0.06591
260.0,0.22986,0.50013,0.21066,0.07095
261.0,0.22804,0.46954,0.2618,0.04238
262.0,0.23473,0.52768,0.22793,0.1058
263.0,0.20153,0.42772,0.23997,0.12482
264.0,0.17256,0.4259,0.27493,0.13541
265.0,0.1785,0.45715,0.20747,0.12646
266.0,0.20347,0.4677,0.2284,0.12129
267.0,0.22568,0.51154,0.20636,0.11134
268.0,0.19376,0.46671,0.22309,0.08496
269.0,0.20692,0.53036,0.21121,0.07372
270.0,0.20206,0.4606,0.26504,0.07563
271.0,0.1534,0.44435,0.29974,0.12325
272.0,0.20176,0.47979,0.29279,0.12751
273.0,0.20816,0.48045,0.25058,0.06679
274.0,0.24875,0.38893,0.2683,0.1678
275.0,0.29063,0.38654,0.31604,0.12418
276.0,0.30538,0.38381,0.29452,0.06348
277.0,0.29864,0.43483,0.29317,0.08753
278.0,0.31699,0.35235,0.27375,0.14684
279.0,0.30551,0.38107,0.31556,0.08608
280.0,0.29447,0.37278,0.30645,0.10952
281.0,0.31722,0.36329,0.32642,0.07863
282.0,0.29181,0.34425,0.33618,0.12495
283.0,0.33302,0.37862,0.31258,0.17813
284.0,0.32501,0.40091,0.3061,0.17684
285.0,0.34542,0.42743,0.35811,0.18763
286.0,0.33552,0.33205,0.31652,0.12117
287.0,0.3401,0.32104,0.33017,0.12163
288.0,0.33656,0.32108,0.37011,0.12235
289.0,0.33573,0.29049,0.39928,0.12545
290.0,0.29817,0.35514,0.2627,0.11418
291.0,0.34474,0.43738,0.25211,0.02103
292.0,0.31626,0.4359,0.27468,0.02664
293.0,0.28823,0.45597,0.25934,0.1238
294.0,0.41405,0.42271,0.34684,0.1666
295.0,0.33388,0.3899,0.37885,0.18757
296.0,0.35342,0.44635,0.26,0.10362
297.0,0.3461,0.44217,0.27747,0.12474
298.0,0.28662,0.37452,0.32121,0.22028
299.0,0.29944,0.43578,0.32014,0.12048
300.0,0.32021,0.45853,0.31007,0.11981
301.0,0.29291,0.41158,0.25646,0.09453
302.0,0.2583,0.38481,0.36234,0.12732
303.0,0.25217,0.42321,0.3203,0.09241
304.0,0.2183,0.40285,0.32327,0.17847
305.0,0.21053,0.46302,0.32656,0.07519
306.0,0.22,0.48215,0.31505,0.12034
307.0,0.1406,0.42606,0.20146,0.11021
308.0,0.12577,0.46618,0.26999,0.10143
309.0,0.11688,0.42861,0.10895,0.03733
310.0,0.11345,0.43521,0.10012,-0.04419
311.0,0.15111,0.47112,0.11089,0.06972
312.0,0.15627,0.47981,0.15811,0.09117
313.0,0.16616,0.43976,0.1138,0.01363
314.0,0.20126,0.59026,0.12391,-0.0288
315.0,0.15524,0.43752,0.14483,-4e-05
316.0,0.15937,0.45807,0.2041,-0.02413
317.0,0.11456,0.40796,0.217,-0.03209
318.0,0.17074,0.38806,0.15418,-0.03096
319.0,0.14646,0.45386,0.10417,0.09502
320.0,0.19776,0.43019,0.15618,0.14262
321.0,0.13139,0.3933,0.18853,0.08028
322.0,0.13031,0.39384,0.12353,0.04964
323.0,0.15223,0.43371,0.20292,0.06579
324.0,0.1723,0.51819,0.17816,0.1203
325.0,0.13873,0.47472,0.10562,0.08682
326.0,0.14672,0.42578,0.15189,0.06555
327.0,0.11634,0.374,0.09988,0.05741
328.0,0.11813,0.36581,,
329.0,0.07741,0.35996,0.08966,0.06371
330.0,0.06414,0.41367,0.08319,0.16335
331.0,0.04095,0.39515,0.05074,0.06058
332.0,0.08563,0.40597,0.04395,0.09262
333.0,0.0821,0.38277,0.08744,0.05435
334.0,0.08884,0.36969,0.09545,0.082
335.0,0.1378,0.39135,0.07529,0.11043
336.0,0.10165,0.34635,0.10176,0.12312
337.0,0.07423,0.4496,0.10671,0.07715
338.0,0.11826,0.44466,0.10596,0.06296
339.0,0.13412,0.37349,0.11488,0.09032
340.0,0.18911,0.42838,0.17985,0.16416
341.0,0.15479,0.51488,0.18998,0.08753
342.0,0.20702,0.47637,0.1803,0.13896
343.0,0.19561,0.46778,0.19462,0.09508
344.0,0.19879,0.48333,0.1507,0.11056
345.0,0.23147,0.45795,0.10534,0.10845
346.0,0.23373,0.53249,0.17899,-0.04148
347.0,0.2644,0.50997,0.13881,-0.03654
348.0,0.24251,0.55104,0.19466,0.06352
349.0,0.26587,0.49128,0.15424,0.01653
350.0,0.19589,0.4218,0.17179,0.10949
351.0,0.22777,0.46592,0.15647,0.08177
352.0,0.25366,0.48946,0.15461,0.05816
353.0,0.30099,0.52358,0.15027,0.01959
354.0,0.22209,0.46965,0.19891,0.08153
355.0,0.22405,0.49167,0.16959,0.05749
356.0,0.20873,0.47378,0.22916,0.15459
357.0,0.25848,0.45122,0.14641,0.07627
358.0,0.23823,0.36039,0.16569,0.09049
359.0,0.25786,0.3624,0.16302,0.10557
360.0,0.22208,0.36574,0.23489,0.01013
361.0,0.26178,0.41934,0.1809,0.03058
362.0,0.26903,0.42629,0.17529,0.0006
363.0,0.24096,0.35376,0.21431,0.06232
364.0,0.24096,0.35376,0.21431,0.06232
365.0,0.27335,0.15934,0.21713,-0.0053
366.0,0.26088,0.2424,0.15456,-0.0162
367.0,0.2768,0.24484,0.15903,-0.10076
368.0,0.348,0.20561,0.27752,-0.17515
369.0,0.22849,0.17462,0.19873,-0.14108
370.0,0.29694,0.13702,0.22055,-0.19067
371.0,0.30766,0.15465,0.21888,-0.09971
372.0,0.28825,0.14578,0.26844,-0.14156
373.0,0.29371,0.14645,0.28461,-0.10611
374.0,0.3212,0.10823,0.23636,-0.1742
375.0,0.3242,0.1207,0.25096,-0.14874
376.0,0.37159,0.12736,0.18115,-0.2484
377.0,0.26602,0.007,0.25418,-0.1856
378.0,0.28321,0.09281,0.27454,-0.31573
379.0,0.24199,0.14161,0.35535,-0.26856
380.0,0.23047,0.1445,0.31771,-0.21104
381.0,0.32674,0.1222,0.22683,-0.26372
382.0,0.22627,0.06049,0.21548,-0.27522
383.0,0.26322,0.07061,0.25052,-0.26439
384.0,0.28094,0.08278,0.2193,-0.26566
385.0,0.28754,0.07866,0.31023,-0.18095
386.0,0.33251,0.14682,0.33667,-0.14936
387.0,0.32258,0.14939,0.30594,-0.0965
388.0,0.31301,0.16348,0.32085,-0.10308
389.0,0.36203,0.15885,0.31833,-0.09539
390.0,0.29455,0.11273,0.32658,-0.08564
391.0,0.27683,0.136,0.4249,-0.17834
392.0,0.31533,0.15882,0.4005,-0.13249
393.0,0.29524,0.11814,0.47561,-0.17571
394.0,0.28534,0.09764,0.48463,-0.05387
395.0,0.33408,0.05789,0.41547,-0.19172
396.0,0.33435,0.0575,0.39254,-0.1623
397.0,0.41192,0.0721,0.35946,-0.20747
398.0,0.37452,0.10892,0.3953,-0.16617
399.0,0.34001,0.07232,0.40478,-0.08444
400.0,0.32068,0.1642,0.38904,-0.04696
401.0,0.33887,0.15974,0.38835,-0.10733
402.0,0.36024,0.187,0.41707,-0.10454
403.0,0.32969,0.15255,0.40777,-0.20312
404.0,0.31638,0.08959,0.59413,-0.19647
405.0,0.3776,0.11484,0.37352,-0.20623
406.0,0.35144,0.11434,0.38807,-0.1455
